mean_photon_number,p_correct,p_cross,p_same,hber_full_intercept,qber_full_intercept,max_intercept_fraction,qber_at_max_intercept
1.0199999999999998,0.9116048365413414,0.07976959823775094,0.008625565220907787,0.08839516345865872,0.04851036433978326,1.0,0.04851036433978326
1.0299999999999998,0.9135576300513388,0.07808677771993013,0.008355592228731114,0.08644236994866124,0.047398981088696175,1.0,0.047398981088696175
1.0399999999999998,0.9154710454620084,0.0764361108503977,0.008092843687593923,0.08452895453799163,0.04631089911279277,1.0,0.04631089911279277
1.0499999999999998,0.9173457087576197,0.07481713314595412,0.007837158096426216,0.08265429124238033,0.04524572466940328,1.0,0.04524572466940328
1.0599999999999998,0.919182240529992,0.07322938226130277,0.007588377208705109,0.08081775947000788,0.04420306833935649,1.0,0.04420306833935649
1.0699999999999998,0.9209812559635987,0.07167239809572867,0.007346345940672618,0.07901874403640129,0.04318254498853696,1.0,0.04318254498853696
1.0799999999999998,0.922743364818454,0.07014572289732492,0.007110912284221082,0.077256635181546,0.04218377373288354,1.0,0.04218377373288354
1.0899999999999999,0.9244691714110616,0.0686489013647618,0.006881927224176739,0.07553082858893855,0.04120637790655764,1.0,0.04120637790655764
1.0999999999999999,0.9261592745936806,0.06718148074659173,0.006659244659727711,0.07384072540631945,0.04024998503302358,1.0,0.04024998503302358
1.1099999999999999,0.9278142677321581,0.06574301093808459,0.006442721329757328,0.07218573226784192,0.039314226798799624,1.0,0.039314226798799624
1.1199999999999999,0.9294347386825546,0.06433304457558735,0.006232216741857978,0.07056526131744532,0.03839873902965165,1.0,0.03839873902965165
1.13,0.9310212697667847,0.06295113712840224,0.006027593104813197,0.06897873023321544,0.037503161669014316,1.0,0.037503161669014316
1.14,0.9325744377474743,0.06159684698817776,0.0058287152643479705,0.06742556225252573,0.03662713875843685,1.0,0.03662713875843685
1.15,0.9340948138022342,0.06026973555580709,0.005635450641958644,0.06590518619776574,0.03577031841986219,1.0,0.03577031841986219
1.16,0.9355829634975282,0.058969367325827825,0.005447669176644006,0.06441703650247182,0.034932352839557916,1.0,0.034932352839557916
1.17,0.9370394467623113,0.0576953099683193,0.005265243269369305,0.06296055323768861,0.03411289825352896,1.0,0.03411289825352896
1.18,0.9384648178616046,0.05644713440829112,0.005088047730104294,0.061535182138395414,0.033311614934249854,1.0,0.033311614934249854
1.19,0.9398596253701557,0.05522441490255964,0.004915959727284622,0.060140374629844257,0.03252816717856444,1.0,0.03252816717856444
1.2,0.9412244121463375,0.05402672911410791,0.004748858739554627,0.05877558785366254,0.031762223296608584,1.0,0.031762223296608584
